x,y,color
2.575780947,5.152036525,107
2.589324614,5.149806884,107
2.601648141,5.151383247,107
2.613979663,5.152895794,107
2.627005503,5.154423202,107
2.639356585,5.155804898,107
2.652581842,5.153191192,107
2.665150932,5.154462605,107
2.677869,5.151663666,107
2.691008487,5.148837226,107
2.702670924,5.157860389,107
2.716030211,5.154914908,107
2.728378482,5.155835295,107
2.740735518,5.156692026,107
2.754269239,5.149541667,107
2.766589183,5.150264177,107
2.779598364,5.150957674,107
2.791925298,5.151549046,107
2.804259286,5.152076765,107
2.81727781,5.152564383,107
2.829612557,5.152960681,107
2.84273178,5.149310898,107
2.854973797,5.153574761,107
2.867262593,5.157775589,107
2.880311317,5.157918834,107
2.892672938,5.157988759,107
2.905712862,5.153993155,107
2.918027683,5.149931722,107
2.930347451,5.149806512,107
2.943497406,5.157603815,107
2.955856549,5.157346654,107
2.969017019,5.161004109,107
2.981397595,5.160614656,107
2.993615007,5.156164334,107
3.00665304,5.155617138,107
3.019200384,5.159028101,107
3.032257853,5.158340817,107
3.044619621,5.157624167,107
3.057240019,5.160834912,107
3.070586936,5.163929844,107
3.082676332,5.159026027,107
3.095728673,5.157992104,107
3.108435178,5.16093178,107
3.120809339,5.159820754,107
3.133865453,5.158578437,107
3.146641643,5.161314262,107
3.159448249,5.163982165,107
3.172526527,5.16252864,107
3.184908095,5.161085816,107
3.19846931,5.163461943,107
3.210855362,5.16188481,107
3.223233084,5.16024358,107
3.236847675,5.162402484,107
3.249810099,5.164584076,107
3.262890317,5.16263675,107
3.275271234,5.160726145,107
3.287642095,5.158751474,107
3.30201447,5.164487078,107
3.314408617,5.162373194,107
3.327475789,5.160072896,107
3.340567185,5.16176181,107
3.353687504,5.163379128,107
3.367530202,5.164789241,107
3.37992086,5.162336926,107
3.39356526,5.163643527,107
3.407007604,5.164921145,107
3.419857688,5.162164707,107
3.433107899,5.163344933,107
3.447069601,5.164295481,107
3.459440525,5.169650453,107
3.472783452,5.170613071,107
3.485893287,5.167447196,107
3.499265804,5.168262808,107
3.51236658,5.164951184,107
3.525767068,5.165619247,107
3.539880888,5.166028474,107
3.553327709,5.166543115,107
3.567487231,5.16679052,107
3.580982817,5.167149641,107
3.595186191,5.167234273,107
3.608720408,5.167439339,107
3.622735634,5.167429708,107
3.636315065,5.167478702,107
3.651795777,5.17105375,107
3.665430024,5.170940832,107
3.679774549,5.170526537,107
3.693446176,5.170255646,107
3.706550762,5.165883943,107
3.721538322,5.169243794,107
3.735953423,5.168495753,107
3.752366323,5.175447079,107
3.76685498,5.17451626,107
3.780670878,5.173750987,107
3.795189815,5.172650868,107
3.810447312,5.175466626,107
3.825014987,5.174188693,107
3.83959584,5.172823268,107
3.853501956,5.171643192,107
3.868108038,5.17010642,107
3.882035,5.168764528,107
3.896664315,5.167055745,107
3.915278782,5.176606116,107
3.931564575,5.178375911,107
3.945616129,5.176670503,107
3.961979908,5.178240577,107
3.977697985,5.180013912,107
3.994157263,5.181373858,107
4.008301222,5.179309528,107
4.024602148,5.180574622,107
4.040716989,5.181843434,107
4.055378398,5.179291339,107
4.071331423,5.180473542,107
4.088026193,5.18121085,107
4.104065099,5.182186402,107
4.120840706,5.182708845,107
4.135138463,5.179916384,107
4.151976955,5.180230218,107
4.168165651,5.180794865,107
4.185083799,5.180888556,107
4.201395597,5.185761888,107
4.217714214,5.186015987,107
4.236700427,5.189282532,107
4.253111315,5.189312665,107
4.270254864,5.188843031,107
4.286741324,5.188655101,107
4.303722522,5.188094101,107
4.320273412,5.187692999,107
4.337553696,5.18677127,107
4.356237332,5.189576168,107
4.373600314,5.188413967,107
4.392396821,5.190968345,107
4.411956919,5.192957341,107
4.428753875,5.191860357,107
4.446272711,5.190211706,107
4.467464531,5.195613107,107
4.485074789,5.193706647,107
4.502013428,5.192141403,107
4.519675196,5.189999227,107
4.538911166,5.191517332,107
4.558899559,5.192426109,107
4.578248725,5.193671846,107
4.596058205,5.191016845,107
4.620132413,5.198522284,107
4.640367055,5.19884057,107
4.657610147,5.196277513,107
4.68029964,5.199542589,107
4.697614506,5.196722499,107
4.71564991,5.193262141,107
4.735414957,5.193396776,107
4.758360077,5.196032527,107
4.778240276,5.195868394,107
4.798538807,5.200351085,107
4.824189481,5.20563356,107
4.846759674,5.208140023,107
4.870105623,5.209913899,107
4.890296641,5.208979968,107
4.908686698,5.204237817,107
4.92894632,5.203022982,107
4.949947169,5.201073138,107
4.973586533,5.202006351,107
4.999203076,5.206391275,107
5.025622981,5.209963717,107
5.046154416,5.207934622,107
5.070082365,5.208121927,107
5.09605302,5.211722165,107
5.120127517,5.211522846,107
5.143562004,5.211779174,107
5.167761459,5.211205023,107
5.191322682,5.211094912,107
5.215407581,5.210365492,107
5.236313843,5.207009156,107
5.263515646,5.20856716,107
5.295698514,5.21630428,107
5.320292235,5.214541982,107
5.344230159,5.213291822,107
5.377455941,5.219585283,107
5.401538934,5.217918088,107
5.423795832,5.218001348,107
5.457340213,5.223558035,107
5.490316183,5.22956217,107
5.515380818,5.226323915,107
5.54271041,5.226368394,107
5.570817378,5.225426344,107
5.598285643,5.225027207,107
5.629269456,5.226556988,107
5.663566278,5.230223857,107
5.694273106,5.231750151,107
5.725778495,5.232210369,107
5.759691911,5.235834174,107
5.794428952,5.238338924,107
5.825513893,5.238795751,107
5.860458294,5.240712992,107
5.888629784,5.238089952,107
5.920660965,5.236902376,107
5.958284389,5.241339838,107
5.996742537,5.244566964,107
6.02833745,5.243388121,107
6.063865639,5.243501611,107
6.105103379,5.249116038,107
6.137671007,5.246138617,107
6.170633996,5.249066208,107
6.209029438,5.251294053,107
6.248245607,5.25223193,107
6.286854934,5.25379018,107
6.326284918,5.254028113,107
6.365106745,5.254900651,107
6.404740064,5.254434158,107
6.450305985,5.259221447,107
6.496732468,5.262567262,107
6.535982878,5.26200572,107
6.576044731,5.260039184,107
6.629484443,5.266615667,107
6.675712865,5.269355189,107
6.709399169,5.261823022,107
6.755834768,5.263792743,107
6.803110389,5.264223986,107
6.84979077,5.265343037,107
6.910873965,5.273372532,107
6.964629792,5.277780025,107
7.005598227,5.272184485,107
7.039058653,5.263274448,107
7.100748006,5.269251927,107
7.173526849,5.28765134,107
7.221071091,5.285620128,107
7.27636706,5.285892557,107
7.338025318,5.290862407,107
7.400578038,5.293964605,107
7.462572387,5.297763678,107
7.511411936,5.291986509,107
7.552560199,5.283290192,107
7.559165512,5.254064558,107
7.550730234,5.218722991,107
7.542745087,5.182206886,107
7.540933972,5.150837639,107
7.553875001,5.125441249,107
7.551692975,5.094167047,107
7.564324161,5.06871271,107
7.568971104,5.041029024,107
7.574098539,5.012021153,107
7.564584753,4.976184282,107
7.56144379,4.945242007,107
7.558519471,4.913497221,107
7.554987229,4.882732329,107
7.551857442,4.850730241,107
7.56256627,4.826621448,107
7.56639816,4.797923129,107
7.554776376,4.764280044,107
7.558234191,4.735703492,107
7.575734109,4.714635323,107
