x,y
6.202495692,1.552577964
6.20476303,1.535701906
6.20296442,1.518314688
6.201029315,1.501242304
6.203097536,1.483530873
6.200990744,1.466223427
6.202761346,1.449357455
6.204407273,1.432768382
6.205985365,1.41588331
6.203480592,1.398651597
6.204840178,1.382054146
6.206188369,1.36432187
6.207372688,1.347427684
6.208459803,1.330526966
6.205440161,1.313679745
6.206333171,1.296790702
6.20712901,1.2798968
6.207816594,1.263285739
6.208447304,1.24553765
6.208948271,1.228632436
6.209346043,1.212006776
6.209654106,1.195096946
6.205865074,1.178147276
6.205978416,1.16125803
6.209995119,1.144642959
6.209909162,1.126889007
6.20972757,1.109977346
6.20545489,1.093426252
6.209079623,1.076440688
6.204609731,1.059657715
6.208038805,1.042631573
6.207384462,1.026014033
6.206581929,1.008272884
6.205718044,0.991382326
6.204774149,0.974783856
6.203717645,0.957904251
6.206553942,0.940746691
6.205301608,0.923857411
6.203975453,0.907257255
6.202455626,0.889538865
6.204890996,0.872297207
6.203273193,0.855700198
6.205509332,0.838408988
6.203668884,0.821532531
6.20173081,0.80466182
6.20359581,0.786748538
6.205424429,0.76936445
6.203186225,0.752484504
6.200890719,0.735899055
6.202417456,0.718463372
6.203840453,0.700996439
6.205159399,0.683498874
6.20233524,0.666064014
6.203445647,0.648529528
6.204451225,0.630966274
6.205403178,0.613656655
6.202269254,0.596779407
6.202964618,0.579156285
6.207475996,0.560720125
6.203921086,0.543268545
6.204295757,0.525573533
6.204562686,0.507849052
6.20868864,0.489505429
6.204840472,0.472611336
6.204787475,0.454817666
6.200739828,0.437946588
6.200336443,0.419569764
6.199961714,0.401735105
6.199478639,0.38388062
6.19896222,0.36628812
6.202122907,0.34734487
6.201308976,0.329412597
6.196539985,0.312563605
6.19918817,0.292934853
6.205706919,0.272662616
6.20443726,0.254621886
6.203144732,0.236848327
6.202369785,0.221030979
6.204680743,0.201999506
6.206777131,0.182630329
6.201163674,0.165752309
6.20311864,0.146598264
6.208629442,0.1257925
6.206458513,0.107566596
6.207732828,0.087407965
6.20532708,0.069148977
6.206552041,0.049473711
6.211384989,0.028323421
6.208722418,0.010256806
6.205838298,-0.008097356
6.206552593,-0.027945189
6.203201883,-0.046892106
6.203657706,-0.066810776
6.203981184,-0.086774197
6.204174011,-0.106776382
6.200685952,-0.124949353
6.200620625,-0.145020754
6.203691132,-0.167616159
6.203470075,-0.187508623
6.206617225,-0.209402543
6.209609197,-0.231376765
6.208834811,-0.251708227
6.20445948,-0.270051956
6.207013416,-0.29219839
6.208990018,-0.315262323
6.207793853,-0.335473418
6.206318296,-0.355999622
6.208252179,-0.378403785
6.209727315,-0.401444268
6.204280656,-0.420216875
6.202231046,-0.440885632
6.203548158,-0.463505255
6.200891382,-0.484812438
6.201884653,-0.507551321
6.202712954,-0.530355536
6.20007969,-0.550934157
6.200093164,-0.574689551
6.203865036,-0.599711963
6.200768298,-0.620416104
6.204185852,-0.645592767
6.210281805,-0.673826447
6.203128443,-0.692838446
6.202782029,-0.715841786
6.202087568,-0.739181435
6.204019734,-0.76560544
6.208532577,-0.787892229
6.206750671,-0.812274063
6.205543687,-0.835577816
6.207274165,-0.861472217
6.202228927,-0.882893879
6.199913403,-0.90718435
6.201075935,-0.933269033
6.205278225,-0.961775969
6.20560497,-0.988608767
6.202912221,-1.012582231
6.20004048,-1.03659525
6.200181123,-1.063057294
6.19968383,-1.090155498
6.202570166,-1.119206078
6.205214728,-1.14836866
6.204708347,-1.174870516
6.203092559,-1.202566267
6.208145892,-1.234524002
6.210068403,-1.26379655
6.208441824,-1.290893207
6.208955232,-1.321465587
6.204068565,-1.345825646
6.216949164,-1.386145624
6.193260696,-1.395176399
